tn,total_maq,estfilho,pronome.1,quantity_usage,percentage_usage
60,53,360601000063,MODULO INTERMEDIARIO PENEIRA D 11                 ,16,30.18867924528302
60,53,360601000063,MODULO INTERMEDIARIO PENEIRA D 11                 ,16,30.18867924528302
60,53,360601000063,MODULO INTERMEDIARIO PENEIRA D 11                 ,16,30.18867924528302
60,53,360601000063,MODULO INTERMEDIARIO PENEIRA D 11                 ,16,30.18867924528302
60,53,360601000063,MODULO INTERMEDIARIO PENEIRA D 11                 ,16,30.18867924528302
60,53,360601000063,MODULO INTERMEDIARIO PENEIRA D 11                 ,16,30.18867924528302
60,53,360601000063,MODULO INTERMEDIARIO PENEIRA D 11                 ,16,30.18867924528302
60,53,360601000063,MODULO INTERMEDIARIO PENEIRA D 11                 ,16,30.18867924528302
60,53,360601000063,MODULO INTERMEDIARIO PENEIRA D 11                 ,16,30.18867924528302
60,53,360601000063,MODULO INTERMEDIARIO PENEIRA D 11                 ,16,30.18867924528302
60,53,360601000063,MODULO INTERMEDIARIO PENEIRA D 11                 ,16,30.18867924528302
60,53,360601000063,MODULO INTERMEDIARIO PENEIRA D 11                 ,16,30.18867924528302
60,53,360601000063,MODULO INTERMEDIARIO PENEIRA D 11                 ,16,30.18867924528302
60,53,360601000064,MODULO EXTREMIDADE PENEIRA D 10                   ,4,7.547169811320755
60,53,360601000064,MODULO EXTREMIDADE PENEIRA D 10                   ,4,7.547169811320755
60,53,360601000064,MODULO EXTREMIDADE PENEIRA D 10                   ,4,7.547169811320755
60,53,360601000064,MODULO EXTREMIDADE PENEIRA D 10                   ,4,7.547169811320755
60,53,360601000065,MODULO EXTREMIDADE PENEIRA D 11                   ,17,32.075471698113205
60,53,360601000065,MODULO EXTREMIDADE PENEIRA D 11                   ,17,32.075471698113205
60,53,360601000065,MODULO EXTREMIDADE PENEIRA D 11                   ,17,32.075471698113205
60,53,360601000065,MODULO EXTREMIDADE PENEIRA D 11                   ,17,32.075471698113205
60,53,360601000065,MODULO EXTREMIDADE PENEIRA D 11                   ,17,32.075471698113205
60,53,360601000065,MODULO EXTREMIDADE PENEIRA D 11                   ,17,32.075471698113205
60,53,360601000065,MODULO EXTREMIDADE PENEIRA D 11                   ,17,32.075471698113205
60,53,360601000065,MODULO EXTREMIDADE PENEIRA D 11                   ,17,32.075471698113205
60,53,360601000065,MODULO EXTREMIDADE PENEIRA D 11                   ,17,32.075471698113205
60,53,360601000065,MODULO EXTREMIDADE PENEIRA D 11                   ,17,32.075471698113205
60,53,360601000065,MODULO EXTREMIDADE PENEIRA D 11                   ,17,32.075471698113205
60,53,360601000065,MODULO EXTREMIDADE PENEIRA D 11                   ,17,32.075471698113205
60,53,360601000065,MODULO EXTREMIDADE PENEIRA D 11                   ,17,32.075471698113205
60,53,360601000065,MODULO EXTREMIDADE PENEIRA D 11                   ,17,32.075471698113205
60,53,360601000065,MODULO EXTREMIDADE PENEIRA D 11                   ,17,32.075471698113205
60,53,360601000065,MODULO EXTREMIDADE PENEIRA D 11                   ,17,32.075471698113205
60,53,360601000065,MODULO EXTREMIDADE PENEIRA D 11                   ,17,32.075471698113205
60,53,360601000066,MODULO EXTREMIDADE PENEIRA PARCIAL D 10           ,4,7.547169811320755
60,53,360601000066,MODULO EXTREMIDADE PENEIRA PARCIAL D 10           ,4,7.547169811320755
60,53,360601000066,MODULO EXTREMIDADE PENEIRA PARCIAL D 10           ,4,7.547169811320755
60,53,360601000066,MODULO EXTREMIDADE PENEIRA PARCIAL D 10           ,4,7.547169811320755
60,53,360601000067,MODULO EXTREMIDADE PENEIRA PARCIAL D 11           ,16,30.18867924528302
60,53,360601000067,MODULO EXTREMIDADE PENEIRA PARCIAL D 11           ,16,30.18867924528302
60,53,360601000067,MODULO EXTREMIDADE PENEIRA PARCIAL D 11           ,16,30.18867924528302
60,53,360601000067,MODULO EXTREMIDADE PENEIRA PARCIAL D 11           ,16,30.18867924528302
60,53,360601000067,MODULO EXTREMIDADE PENEIRA PARCIAL D 11           ,16,30.18867924528302
60,53,360601000067,MODULO EXTREMIDADE PENEIRA PARCIAL D 11           ,16,30.18867924528302
60,53,360601000067,MODULO EXTREMIDADE PENEIRA PARCIAL D 11           ,16,30.18867924528302
60,53,360601000067,MODULO EXTREMIDADE PENEIRA PARCIAL D 11           ,16,30.18867924528302
60,53,360601000067,MODULO EXTREMIDADE PENEIRA PARCIAL D 11           ,16,30.18867924528302
60,53,360601000067,MODULO EXTREMIDADE PENEIRA PARCIAL D 11           ,16,30.18867924528302
60,53,360601000067,MODULO EXTREMIDADE PENEIRA PARCIAL D 11           ,16,30.18867924528302
60,53,360601000067,MODULO EXTREMIDADE PENEIRA PARCIAL D 11           ,16,30.18867924528302
60,53,360601000067,MODULO EXTREMIDADE PENEIRA PARCIAL D 11           ,16,30.18867924528302
60,53,360601000067,MODULO EXTREMIDADE PENEIRA PARCIAL D 11           ,16,30.18867924528302
60,53,360601000067,MODULO EXTREMIDADE PENEIRA PARCIAL D 11           ,16,30.18867924528302
60,53,360601000067,MODULO EXTREMIDADE PENEIRA PARCIAL D 11           ,16,30.18867924528302
60,53,360601000068,MODULO INTERMEDIARIO PENEIRA D 3.5                ,23,43.39622641509434
60,53,360601000068,MODULO INTERMEDIARIO PENEIRA D 3.5                ,23,43.39622641509434
60,53,360601000068,MODULO INTERMEDIARIO PENEIRA D 3.5                ,23,43.39622641509434
60,53,360601000068,MODULO INTERMEDIARIO PENEIRA D 3.5                ,23,43.39622641509434
60,53,360601000068,MODULO INTERMEDIARIO PENEIRA D 3.5                ,23,43.39622641509434
60,53,360601000068,MODULO INTERMEDIARIO PENEIRA D 3.5                ,23,43.39622641509434
60,53,360601000068,MODULO INTERMEDIARIO PENEIRA D 3.5                ,23,43.39622641509434
60,53,360601000068,MODULO INTERMEDIARIO PENEIRA D 3.5                ,23,43.39622641509434
60,53,360601000068,MODULO INTERMEDIARIO PENEIRA D 3.5                ,23,43.39622641509434
60,53,360601000068,MODULO INTERMEDIARIO PENEIRA D 3.5                ,23,43.39622641509434
60,53,360601000068,MODULO INTERMEDIARIO PENEIRA D 3.5                ,23,43.39622641509434
60,53,360601000068,MODULO INTERMEDIARIO PENEIRA D 3.5                ,23,43.39622641509434
60,53,360601000068,MODULO INTERMEDIARIO PENEIRA D 3.5                ,23,43.39622641509434
60,53,360601000068,MODULO INTERMEDIARIO PENEIRA D 3.5                ,23,43.39622641509434
60,53,360601000068,MODULO INTERMEDIARIO PENEIRA D 3.5                ,23,43.39622641509434
60,53,360601000068,MODULO INTERMEDIARIO PENEIRA D 3.5                ,23,43.39622641509434
60,53,360601000068,MODULO INTERMEDIARIO PENEIRA D 3.5                ,23,43.39622641509434
60,53,360601000068,MODULO INTERMEDIARIO PENEIRA D 3.5                ,23,43.39622641509434
60,53,360601000068,MODULO INTERMEDIARIO PENEIRA D 3.5                ,23,43.39622641509434
60,53,360601000068,MODULO INTERMEDIARIO PENEIRA D 3.5                ,23,43.39622641509434
60,53,360601000068,MODULO INTERMEDIARIO PENEIRA D 3.5                ,23,43.39622641509434
60,53,360601000068,MODULO INTERMEDIARIO PENEIRA D 3.5                ,23,43.39622641509434
60,53,360601000068,MODULO INTERMEDIARIO PENEIRA D 3.5                ,23,43.39622641509434
60,53,360601000069,MODULO INTERMEDIARIO PENEIRA D 4                  ,9,16.9811320754717
60,53,360601000069,MODULO INTERMEDIARIO PENEIRA D 4                  ,9,16.9811320754717
60,53,360601000069,MODULO INTERMEDIARIO PENEIRA D 4                  ,9,16.9811320754717
60,53,360601000069,MODULO INTERMEDIARIO PENEIRA D 4                  ,9,16.9811320754717
60,53,360601000069,MODULO INTERMEDIARIO PENEIRA D 4                  ,9,16.9811320754717
60,53,360601000069,MODULO INTERMEDIARIO PENEIRA D 4                  ,9,16.9811320754717
60,53,360601000069,MODULO INTERMEDIARIO PENEIRA D 4                  ,9,16.9811320754717
60,53,360601000069,MODULO INTERMEDIARIO PENEIRA D 4                  ,9,16.9811320754717
60,53,360601000069,MODULO INTERMEDIARIO PENEIRA D 4                  ,9,16.9811320754717
60,53,360601000070,MODULO INTERMEDIARIO PENEIRA D 4.5                ,12,22.641509433962266
60,53,360601000070,MODULO INTERMEDIARIO PENEIRA D 4.5                ,12,22.641509433962266
60,53,360601000070,MODULO INTERMEDIARIO PENEIRA D 4.5                ,12,22.641509433962266
60,53,360601000070,MODULO INTERMEDIARIO PENEIRA D 4.5                ,12,22.641509433962266
60,53,360601000070,MODULO INTERMEDIARIO PENEIRA D 4.5                ,12,22.641509433962266
60,53,360601000070,MODULO INTERMEDIARIO PENEIRA D 4.5                ,12,22.641509433962266
60,53,360601000070,MODULO INTERMEDIARIO PENEIRA D 4.5                ,12,22.641509433962266
60,53,360601000070,MODULO INTERMEDIARIO PENEIRA D 4.5                ,12,22.641509433962266
60,53,360601000070,MODULO INTERMEDIARIO PENEIRA D 4.5                ,12,22.641509433962266
60,53,360601000070,MODULO INTERMEDIARIO PENEIRA D 4.5                ,12,22.641509433962266
60,53,360601000070,MODULO INTERMEDIARIO PENEIRA D 4.5                ,12,22.641509433962266
60,53,360601000070,MODULO INTERMEDIARIO PENEIRA D 4.5                ,12,22.641509433962266
60,53,360601000071,MODULO EXTREMIDADE PENEIRA D 3.5                  ,23,43.39622641509434
60,53,360601000071,MODULO EXTREMIDADE PENEIRA D 3.5                  ,23,43.39622641509434
60,53,360601000071,MODULO EXTREMIDADE PENEIRA D 3.5                  ,23,43.39622641509434
60,53,360601000071,MODULO EXTREMIDADE PENEIRA D 3.5                  ,23,43.39622641509434
60,53,360601000071,MODULO EXTREMIDADE PENEIRA D 3.5                  ,23,43.39622641509434
60,53,360601000071,MODULO EXTREMIDADE PENEIRA D 3.5                  ,23,43.39622641509434
60,53,360601000071,MODULO EXTREMIDADE PENEIRA D 3.5                  ,23,43.39622641509434
60,53,360601000071,MODULO EXTREMIDADE PENEIRA D 3.5                  ,23,43.39622641509434
60,53,360601000071,MODULO EXTREMIDADE PENEIRA D 3.5                  ,23,43.39622641509434
60,53,360601000071,MODULO EXTREMIDADE PENEIRA D 3.5                  ,23,43.39622641509434
60,53,360601000071,MODULO EXTREMIDADE PENEIRA D 3.5                  ,23,43.39622641509434
60,53,360601000071,MODULO EXTREMIDADE PENEIRA D 3.5                  ,23,43.39622641509434
60,53,360601000071,MODULO EXTREMIDADE PENEIRA D 3.5                  ,23,43.39622641509434
60,53,360601000071,MODULO EXTREMIDADE PENEIRA D 3.5                  ,23,43.39622641509434
